id,created_at,page,url,name,theme_id
bb23f11f-8c80-4a81-ad4a-7bb3445f8e81,2026-02-07 22:16:00.990635+00,dashboard,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/4b007623-e7d9-4e80-ade2-a70ec9498acf__dashboard__8373__6.jpg,4b007623-e7d9-4e80-ade2-a70ec9498acf__dashboard__8373__6.jpg,4b007623-e7d9-4e80-ade2-a70ec9498acf
be85bfb0-db0f-4da8-b4f6-c7a130b663a6,2026-02-07 04:11:39.204617+00,ai,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/1f7fdab6-a98b-4956-869d-5449cc354c01__ai__181812__1.jpg,1f7fdab6-a98b-4956-869d-5449cc354c01__ai__181812__1.jpg,1f7fdab6-a98b-4956-869d-5449cc354c01
bfb70a40-3fdf-430d-bfb3-a3ac7d49a720,2026-02-07 22:16:00.297928+00,mymovies,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/4b007623-e7d9-4e80-ade2-a70ec9498acf__mymovies__335988__5.jpg,4b007623-e7d9-4e80-ade2-a70ec9498acf__mymovies__335988__5.jpg,4b007623-e7d9-4e80-ade2-a70ec9498acf
c5c41e84-5b20-466a-b86c-cb3353a06635,2026-02-07 20:46:35.476462+00,dashboard,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/df02303b-8d48-4dd4-bf1f-0f452744c6dd__lists__361743__3.jpg,df02303b-8d48-4dd4-bf1f-0f452744c6dd__lists__361743__3.jpg,df02303b-8d48-4dd4-bf1f-0f452744c6dd
c8e5cbc4-da20-433c-b7b9-9c491a77939f,2026-02-07 20:46:36.627192+00,ai,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/df02303b-8d48-4dd4-bf1f-0f452744c6dd__ai__361743__6.jpg,df02303b-8d48-4dd4-bf1f-0f452744c6dd__ai__361743__6.jpg,df02303b-8d48-4dd4-bf1f-0f452744c6dd
d2352e87-31e7-428c-895e-a197af56efc1,2026-02-07 20:25:52.557979+00,dashboard,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/22f2c2fc-57c7-46ce-82c8-4f2d1c75c487__dashboard__120467__4.jpg,22f2c2fc-57c7-46ce-82c8-4f2d1c75c487__dashboard__120467__4.jpg,22f2c2fc-57c7-46ce-82c8-4f2d1c75c487
d5b9ae10-b33c-4bb2-b734-7d531edbe617,2026-02-07 20:25:51.967464+00,mymovies,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/22f2c2fc-57c7-46ce-82c8-4f2d1c75c487__mymovies__120467__3.jpg,22f2c2fc-57c7-46ce-82c8-4f2d1c75c487__mymovies__120467__3.jpg,22f2c2fc-57c7-46ce-82c8-4f2d1c75c487
d635606c-93a0-4bd2-a0cc-08341d25ef19,2026-02-07 20:21:25.499553+00,mymovies,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/82ccadef-039f-4822-b363-f928fb0ff6e1__mymovies__16869__5.jpg,82ccadef-039f-4822-b363-f928fb0ff6e1__mymovies__16869__5.jpg,82ccadef-039f-4822-b363-f928fb0ff6e1
d6d7f795-60a3-4d03-a65f-afcb8a2c8490,2026-02-07 20:30:03.687973+00,lists,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/d723f1c2-b32b-4e27-9bb4-d3bd5c634e66__lists__911430__3.jpg,d723f1c2-b32b-4e27-9bb4-d3bd5c634e66__lists__911430__3.jpg,d723f1c2-b32b-4e27-9bb4-d3bd5c634e66
d8f7dab8-956a-40d7-b70f-ee9298b5daf9,2026-02-07 20:42:16.679343+00,lists,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/0c70d669-9c07-4935-a9b4-22551dd2beb5__lists__718930__4.jpg,0c70d669-9c07-4935-a9b4-22551dd2beb5__lists__718930__4.jpg,0c70d669-9c07-4935-a9b4-22551dd2beb5
dc5885a3-690c-4803-8871-2b7212cd8478,2026-02-07 20:13:05.228291+00,ai,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/b9b9cad9-5e7d-4f24-b43e-8ea277ec8777__ai__675__1.jpg,b9b9cad9-5e7d-4f24-b43e-8ea277ec8777__ai__675__1.jpg,b9b9cad9-5e7d-4f24-b43e-8ea277ec8777
de232868-a92a-4358-8e48-ccc64c0dbc54,2026-02-07 20:25:53.736293+00,feed,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/22f2c2fc-57c7-46ce-82c8-4f2d1c75c487__feed__120467__6.jpg,22f2c2fc-57c7-46ce-82c8-4f2d1c75c487__feed__120467__6.jpg,22f2c2fc-57c7-46ce-82c8-4f2d1c75c487
e4ae9d7c-3d55-4472-ae85-2e771a70d97c,2026-02-07 20:38:39.320795+00,ai,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/f9ee603b-05ee-4995-8bd6-07359fb88a06__ai__1061474__5.jpg,f9ee603b-05ee-4995-8bd6-07359fb88a06__ai__1061474__5.jpg,f9ee603b-05ee-4995-8bd6-07359fb88a06
e76dda5a-a97a-440d-a31d-352c8fdeb395,2026-02-07 04:11:41.324585+00,dashboard,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/1f7fdab6-a98b-4956-869d-5449cc354c01__dashboard__140607__6.jpg,1f7fdab6-a98b-4956-869d-5449cc354c01__dashboard__140607__6.jpg,1f7fdab6-a98b-4956-869d-5449cc354c01
f2f2d22e-5aa5-450c-9107-6410cbab050f,2026-02-07 20:35:29.80531+00,home,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/fb2386f4-c66b-4c36-9589-9beb13b1ce4b__home__12445__1.jpg,fb2386f4-c66b-4c36-9589-9beb13b1ce4b__home__12445__1.jpg,fb2386f4-c66b-4c36-9589-9beb13b1ce4b
fbc21d05-e437-4b42-9f1e-0df1d8ee97e8,2026-02-07 05:35:20.421204+00,mymovies,https://dbxhaseoxpnmzdxbzdpj.supabase.co/storage/v1/object/public/Background%20Images/cfc8a566-097e-4908-bba9-5c9bf6228433__mymovies__693134__4.jpg,cfc8a566-097e-4908-bba9-5c9bf6228433__mymovies__693134__4.jpg,cfc8a566-097e-4908-bba9-5c9bf6228433
